date,region,category,product,price,quantity,discount_pct,rating,returned
2024-11-23,North,Electronics,Tablet,399.99,25,11.0,4.5,No
2024-02-14,West,Electronics,Phone,699.99,23,9.0,4.3,No
2024-08-02,South,Clothing,Shoes,89.99,51,2.4,2.7,No
2024-04-20,East,Electronics,Headphones,149.99,16,5.2,3.9,Yes
2024-03-04,North,Electronics,Tablet,399.99,50,12.9,4.4,No
2024-04-26,East,Home,Chair,89.99,75,6.8,4.3,No
2024-06-30,South,Food,Coffee,4.99,287,14.9,2.8,No
2024-11-23,South,Food,Coffee,4.99,317,26.1,2.6,No
2024-10-17,East,Electronics,Headphones,149.99,35,9.6,3.7,No
2024-10-02,East,Food,Juice,5.99,498,14.4,5.0,No
2024-02-16,North,Home,Chair,89.99,90,6.3,1.3,Yes
2024-08-27,East,Home,Lamp,39.99,79,8.1,2.1,No
2024-02-27,East,Clothing,Jacket,119.99,50,13.1,2.1,No
2024-04-01,North,Home,Rug,59.99,179,2.3,4.1,No
2024-09-28,North,Food,Juice,5.99,209,,2.5,No
2024-06-06,North,Electronics,Phone,699.99,15,12.2,5.0,No
2024-12-03,West,Home,Chair,89.99,117,9.1,4.9,No
2024-12-19,South,Food,Juice,5.99,391,20.4,1.5,Yes
2024-10-28,South,Food,Coffee,4.99,236,11.2,1.3,Yes
2024-06-18,North,Clothing,Shoes,89.99,174,2.0,4.7,No
2024-08-30,South,Food,Juice,5.99,297,,3.6,No
2024-07-29,West,Home,Lamp,39.99,75,,3.9,No
2024-02-25,South,Electronics,Headphones,149.99,18,4.2,3.9,No
2024-10-08,North,Electronics,Phone,699.99,15,12.7,3.7,No
2024-04-19,West,Home,Chair,89.99,147,,2.6,No
2024-08-20,East,Clothing,Jacket,119.99,89,3.3,1.2,No
2024-02-01,East,Electronics,Headphones,149.99,42,8.0,3.6,No
2024-02-05,North,Food,Tea,3.99,406,,4.6,No
2024-10-31,North,Food,Juice,5.99,498,16.3,2.0,No
2024-06-09,South,Clothing,Pants,49.99,126,13.9,4.7,Yes
2024-11-14,North,Electronics,Laptop,1299.99,42,14.0,4.8,No
2024-07-08,East,Electronics,Tablet,399.99,49,12.1,4.3,No
2024-12-05,North,Home,Chair,89.99,175,,1.4,No
2024-11-05,South,Food,Tea,3.99,335,15.0,4.6,No
2024-11-20,West,Food,Coffee,4.99,201,12.6,4.9,No
2024-08-14,West,Food,Coffee,4.99,238,23.8,1.6,Yes
2024-07-08,South,Clothing,Shirt,29.99,128,14.0,4.9,Yes
2024-07-02,South,Food,Coffee,4.99,381,27.7,2.6,No
2024-03-20,South,Home,Chair,89.99,155,,3.9,No
2024-07-29,South,Clothing,Shirt,29.99,147,12.9,1.9,No
2024-08-23,East,Clothing,Pants,49.99,107,,1.8,Yes
2024-02-05,East,Clothing,Jacket,119.99,187,0.4,4.5,No
2024-10-24,East,Electronics,Headphones,149.99,32,4.7,4.4,No
2024-10-22,South,Clothing,Jacket,119.99,50,12.1,3.7,No
2024-12-09,South,Clothing,Shirt,29.99,134,10.0,1.5,No
2024-09-16,East,Food,Snacks,2.99,406,21.1,1.8,No
2024-07-13,South,Food,Snacks,2.99,407,10.0,2.1,No
2024-10-23,East,Clothing,Jacket,119.99,104,11.9,4.8,No
2024-12-03,North,Clothing,Shoes,89.99,73,11.3,3.7,No
2024-04-11,South,Electronics,Laptop,1299.99,40,11.5,4.2,No
2024-12-22,West,Clothing,Pants,49.99,87,0.1,4.0,No
2024-02-24,West,Electronics,Headphones,149.99,13,13.8,3.7,No
2024-09-28,East,Home,Frame,14.99,179,13.6,2.8,No
2024-08-31,West,Clothing,Pants,49.99,120,7.8,3.5,No
2024-02-09,North,Electronics,Tablet,399.99,30,1.2,3.7,No
2024-04-19,North,Clothing,Shoes,89.99,188,0.9,4.3,No
2024-10-26,North,Home,Frame,14.99,172,,2.4,No
2024-08-02,South,Clothing,Shoes,89.99,161,5.8,3.7,No
2024-03-25,West,Home,Lamp,39.99,150,9.9,1.3,No
2024-08-24,South,Electronics,Headphones,149.99,30,4.9,4.6,No
2024-08-03,East,Food,Juice,5.99,209,11.0,4.8,No
2024-02-05,North,Food,Tea,3.99,302,22.4,2.0,No
2024-02-28,South,Clothing,Shoes,89.99,144,9.1,4.0,No
2024-03-24,North,Electronics,Phone,699.99,29,13.6,4.1,No
2024-10-30,South,Electronics,Tablet,399.99,53,1.8,5.0,No
2024-08-07,East,Electronics,Tablet,399.99,10,12.3,3.7,No
2024-08-23,South,Clothing,Shoes,89.99,187,7.0,4.3,No
2024-06-14,South,Food,Coffee,4.99,342,14.9,2.9,No
2024-07-13,East,Electronics,Tablet,399.99,21,5.3,3.9,No
2024-05-21,North,Clothing,Pants,49.99,71,6.1,3.2,No
2024-08-31,West,Clothing,Shirt,29.99,73,6.1,2.0,No
2024-07-07,West,Food,Snacks,2.99,417,21.0,2.4,No
2024-06-05,North,Electronics,Laptop,1299.99,30,,4.3,No
2024-04-20,West,Clothing,Shoes,89.99,75,4.4,2.4,Yes
2024-12-28,South,Clothing,Shirt,29.99,191,14.2,3.6,No
2024-02-22,North,Food,Juice,5.99,445,13.7,1.2,No
2024-09-01,North,Food,Juice,5.99,451,,3.5,No
2024-03-17,East,Electronics,Laptop,1299.99,17,6.2,4.4,No
2024-07-13,West,Home,Rug,59.99,200,4.6,3.5,No
2024-02-20,South,Food,Snacks,2.99,241,,1.7,Yes
2024-01-02,West,Clothing,Jacket,119.99,124,,2.2,Yes
2024-08-20,North,Food,Snacks,2.99,301,20.9,3.6,No
2024-03-13,North,Electronics,Tablet,399.99,48,8.5,3.9,No
2024-12-18,East,Food,Snacks,2.99,456,18.8,3.4,No
2024-11-05,East,Electronics,Laptop,1299.99,53,8.6,4.9,No
2024-05-17,North,Food,Tea,3.99,440,18.8,2.1,No
2024-08-11,West,Home,Frame,14.99,139,4.8,1.4,Yes
2024-07-29,West,Clothing,Jacket,119.99,190,,1.4,Yes
2024-02-29,West,Home,Lamp,39.99,188,0.8,3.1,No
2024-09-12,West,Food,Tea,3.99,336,28.6,2.8,No
2024-03-03,North,Home,Chair,89.99,90,0.2,2.6,No
2024-02-28,West,Home,Chair,89.99,177,4.4,3.8,No
2024-09-04,North,Electronics,Laptop,1299.99,34,9.0,4.6,No
2024-07-31,East,Home,Rug,59.99,50,4.5,3.3,No
2024-09-07,South,Clothing,Jacket,119.99,138,11.4,2.5,No
2024-04-06,South,Food,Tea,3.99,410,,4.0,No
2024-07-14,West,Home,Chair,89.99,176,1.9,4.9,No
2024-02-21,West,Electronics,Headphones,149.99,10,6.1,4.5,No
